restaurant_name,count
Speed Burger,7
Ninasushi,3
Gloria,3
Foc Ly,3
Laura,3
Daikichi,3
Le Paradis du Couscous,3
Pasta Oro,2
Ereganto,2
Nori Sushi,2
Le Chambord,2
Crêperie Delft,2
Frenchy's Grill,2
Bistro 42,2
L'Adresse,2
San Giovanni,2
Hayaci,2
Pizza Hut,2
Sakura,2
Big Buddha,2
La Can Tin'h,2
Dolemon Sushi,2
Maison Wok,2
Gusto Divino,2
La Table des Oliviers,2
Compose,2
La Place,2
Shin Juku,2
Délices de Pékin,2
Chez Thaï,2
Le Grand Bé,2
Au Bureau,2
Piccolo Mondo,2
Les raisins sociaux,2
L'Atelier 16,1
Chez Poulet Lacqué,1
Au Jardin Gourmand,1
Chez Bedros,1
Casa Mario,1
Mona,1
L'Atelier Artisan Crêpier - Neuilly,1
Le relais du Bois,1
Les filaos,1
Indiana Café,1
L'Affiche,1
Le Buron à Pizza,1
Vietnam Kitchen,1
Il Farniente,1
Le Bô Sushi,1
Le Frank,1
Le Garage,1
La Gondola,1
La Rotonde de la Muette,1
L'Instant,1
Les Agapes,1
Jour Neuilly,1
Le Méditerranéen,1
Pizza Italia,1
Sakula,1
Rastignac,1
Asahi Sushi,1
Oky Sushi,1
Street Bangkok,1
La Petite Folie,1
Chez Mademoiselle Paris 16,1
SaÎgon,1
Kiosque,1
Octopus,1
Marco Marco,1
Sushi Marché,1
Nouvelle Étoile,1
Le Congrès Auteuil,1
Estelle & Julien,1
Le Cardinal,1
Le Valerianne,1
Bistrot Da Vinci,1
Pizza Camilia,1
Gio Snack,1
Le Grand Bistro Muette,1
Cathay Palace,1
Madison Caffé,1
Dino,1
L'insensé,1
Hoki Sushi,1
Les Fontaines,1
Le Comptoir Loz,1
Super Bowl,1
Alba,1
Casa Luisa,1
Akita 16,1
Sushi Gourmet,1
Nina Sushi,1
Beyrouth Express,1
Kisoro Courbevoie,1
Chez Max & Nico,1
L'AOC,1
Le Mizane,1
Ciro,1
Chez Papinou,1
Sakae,1
Korea Kit'chen,1
Le Petit Versailles,1
Poke Sushi and Co,1
San Francisco,1
Pop's,1
Valentino Pizzeria,1
Ristorante Mamma Mia,1
La Cantina,1
Kyo,1
Le Timgåd,1
Andorinha,1
Al San Marco,1
Le Murat,1
Les Deux Stations,1
Le Mouton Blanc,1
La Délice,1
Le QG 961,1
Go Ramen,1
Ama,1
Mise En Saine,1
Mama Kitchen Caffè,1
Toyosushi,1
Bang Kang,1
Pizza Siciliana,1
Cathay Thai,1
Marius,1
Dada Bistro,1
À l'Orée du Parc,1
Venise,1
Manaslu,1
La ferme de l'Aveyron,1
Le Mandarin de Neuilly,1
Khao Lak,1
L'Aéroclub,1
Caffé Da Moli,1
Le Gavroche,1
Fun Pizza,1
Délice Impérial,1
Délices de l'Inde,1
Le Chalet des Iles,1
Restaurant Club Municipal Sainte-Lucie,1
La Trattoria d’Auteuil,1
Coffee Aum,1
Il Giardino,1
Le Gainsbar,1
Mon Bistrot,1
Issy Guinguette,1
Yushin,1
YUSHIN,1
Controvento,1
Giallo Oro,1
Yugen,1
Le Bruegel,1
Popeille & Razowski,1
Chez Achille,1
Woodiz,1
Foodina,1
King David,1
OZ,1
Yummy,1
Au Goût Nature,1
Au Coin Fleuri,1
Issy l'Asie,1
L'Eden d'Armor,1
Italien Kitchen,1
La Pizza d'Anita,1
Disciples,1
A&M,1
Phô Issy,1
Lassani,1
La Paillote,1
Le n°41,1
Coussin du Bengale,1
Sapore,1
Palermo,1
Il Cottage,1
Farah Mahal,1
PB Poulet Braisé,1
Pizza Paparotti,1
Kanoya,1
